
date,exchange_rate
2012-01-02,0.7723
2012-01-03,0.7727
2012-01-04,0.7731
2012-01-05,0.7731
2012-01-06,0.7732
2012-01-09,0.7727
2012-01-10,0.7728
2012-01-11,0.7731
2012-01-12,0.7731
2012-01-13,0.7730
2012-01-16,0.7728
2012-01-17,0.7728
2012-01-18,0.7728
2012-01-19,0.7730
2012-01-20,0.7729
2012-01-23,0.7731
2012-01-24,0.7730
2012-01-25,0.7732
2012-01-26,0.7732
2012-01-27,0.7733
2012-01-30,0.7734
2012-01-31,0.7736
2012-02-01,0.7736
2012-02-02,0.7735
2012-02-03,0.7735
2012-02-06,0.7735
2012-02-07,0.7734
2012-02-08,0.7733
2012-02-09,0.7732
2012-02-10,0.7733
2012-02-13,0.7732
2012-02-14,0.7732
2012-02-15,0.7732
2012-02-16,0.7731
2012-02-17,0.7730
2012-02-20,0.7729
2012-02-21,0.7729
2012-02-22,0.7728
2012-02-23,0.7727
2012-02-24,0.7726
2012-02-27,0.7725
2012-02-28,0.7724
2012-02-29,0.7723
2012-03-01,0.7722
2012-03-02,0.7721
2012-03-05,0.7720
2012-03-06,0.7719
2012-03-07,0.7718
2012-03-08,0.7717
2012-03-09,0.7716
2012-03-12,0.7715
2012-03-13,0.7714
2012-03-14,0.7713
2012-03-15,0.7712
2012-03-16,0.7711
2012-03-19,0.7710
2012-03-20,0.7709
2012-03-21,0.7708
2012-03-22,0.7707
2012-03-23,0.7706
2012-03-26,0.7705
2012-03-27,0.7704
2012-03-28,0.7703
2012-03-29,0.7702
2012-03-30,0.7701
